platform_product_id,platform_marketplace_id,product_title,currency,buy_box_price,buy_box_seller,manufacturer_name,brand,model_number,upc,part_number,ratings_count,average_rating,listing_url,image_url,seller_url
B0CKZGY5B6,AMAZON-US,PlayStation 5 Console - Marvel’s Spider-Man 2 Bundle (slim),USD,449.00,Amazon.com,Sony Interactive Entertainment,,CFI-2000,,,"3,440",4.7,https://www.amazon.com/PlayStation-Console-Marvels-Spider-Man-Bundle-5/dp/B0CKZGY5B6/,https://m.media-amazon.com/images/I/416ENUQdHcL.jpg,https://www.amazon.com
B0BMP59WKY,AMAZON-US,"Playstation 5 Disc Version PS5 Console - 4K-TV Gaming, 120Hz 8K Output, 16GB GDDR6, 825GB SSD, WiFi 6, Bluetooth *5.1",USD,649.00,AMAZING PRIME DEAL,Sony,,Sony,,,,,https://www.amazon.com/Playstation-Disc-Version-PS5-Console/dp/B0BMP59WKY/,https://m.media-amazon.com/images/I/31JaiPXYI8L.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A6TZJ946WAO91&asin=B0BMP59WKY&ref_=dp_merchant_link
B09RTWS8PY,AMAZON-US,Sony PlayStation 5 Disc Version (Renewed),USD,459.99,The Game Brain,Sony,,,,,33,4.0,https://www.amazon.com/Sony-PlayStation-Disc-Version-Renewed-3/dp/B09RTWS8PY/,https://m.media-amazon.com/images/I/31WRbPnBnwL.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3BJLZ3ISNW4QN&asin=B09RTWS8PY&ref_=dp_merchant_link
B09DFCB66S,AMAZON-US,PlayStation 5 Console CFI-1102A,USD,559.00,Royal Tech Plus,Sony,,Internacional,,,"8,317",4.8,https://www.amazon.com/PlayStation-5-Console/dp/B09DFCB66S/,https://m.media-amazon.com/images/I/31f6K0VobNL.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3V7TP3WFFORU4&asin=B09DFCB66S&ref_=dp_merchant_link
B08ZFN8YHH,AMAZON-US,PlayStation 5 Console (Renewed),USD,459.99,The Game Brain,Sony,,,,,299,4.0,https://www.amazon.com/PlayStation-5-Console-Renewed/dp/B08ZFN8YHH/,https://m.media-amazon.com/images/I/31BCPSLWq4L.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3BJLZ3ISNW4QN&asin=B08ZFN8YHH&ref_=dp_merchant_link
B0CMDH9M5W,AMAZON-US,PlayStation Pulse Elite Wireless Headset,USD,149.00,Amazon.com,Sony,,CFI-ZHW2,,,"22,869",4.7,https://www.amazon.com/PlayStation-Pulse-Elite-Wireless-Headset-5/dp/B0CMDH9M5W/,https://m.media-amazon.com/images/I/21InY1vO6XL.jpg,https://www.amazon.com
B0BHBWSJN3,AMAZON-US,PS5 Digital Edition – God of War Ragnarök Bundle,USD,429.99,PRICE 2 SAVE,Sony Interactive Entertainment,,Internacional,,,"2,643",4.8,https://www.amazon.com/PS5-Digital-Ragnar%C3%B6k-Bundle-PlayStation-5/dp/B0BHBWSJN3/,https://m.media-amazon.com/images/I/31LAGLwju-L.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html?ie=UTF8&seller=A17J18A7XABQI9
B0BSYFB99D,AMAZON-US,PlayStation DualSense Edge Wireless Controller,USD,199.00,Amazon Warehouse,Sony,,,,,"47,499",4.8,https://www.amazon.com/PlayStation-DualSense-Edge-Wireless-Controller-5/dp/B0BSYFB99D/,https://m.media-amazon.com/images/I/31tKL-PRBGL.jpg,https://www.amazon.com/b?node=10158976011
B0C3FTV6DW,AMAZON-US,Sony 98 Inch 4K Ultra HD TV X90L Series: BRAVIA XR Full Array LED Smart Google TV with Dolby Vision HDR and Exclusive Features for The Playstation® 5 XR98X90L- 2023 Model,USD,"6,998.00",Walts TV,,Sony,XR98X90L,,,340,4.4,https://www.amazon.com/Sony-Inch-Ultra-X90L-Playstation%C2%AE/dp/B0C3FTV6DW/,https://m.media-amazon.com/images/I/811V+dDgoNL.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2K7RN1DSQCI9O&asin=B0C3FTV6DW&ref_=dp_merchant_link
B0BYPNDTC7,AMAZON-US,"Sony OLED 77 inch BRAVIA XR A80L Series 4K Ultra HD TV: Smart Google TV with Dolby Vision HDR and Exclusive Gaming Features for The Playstation® 5 XR77A80L- 2023 Model,Black",USD,"2,698.00",Amazon.com,,Sony,XR77A80L,,,208,4.3,https://www.amazon.com/Sony-OLED-inch-BRAVIA-Ultra/dp/B0BYPNDTC7/,https://m.media-amazon.com/images/I/81aMS6p4xlL.jpg,https://www.amazon.com
B0BYPSVKCZ,AMAZON-US,"Sony 75 Inch Mini LED 4K Ultra HD TV X93L Series: BRAVIA XR Smart Google TV with Dolby Vision HDR and Exclusive Features for The Playstation® 5 XR75X93L- 2023 Model,Black",USD,"2,798.00",Amazon.com,,Sony,XR75X93L,,,57,4.4,https://www.amazon.com/Sony-Inch-Mini-Ultra-X93L/dp/B0BYPSVKCZ/,https://m.media-amazon.com/images/I/81gh-FPrFyL.jpg,https://www.amazon.com
B0BYPQ8RH8,AMAZON-US,"Sony OLED 65 inch BRAVIA XR A80L Series 4K Ultra HD TV: Smart Google TV with Dolby Vision HDR and Exclusive Gaming Features for The Playstation® 5 XR65A80L- 2023 Model,Black",USD,"1,998.00",Video & Audio  Center - Same Day Shipping,,Sony,XR65A80L,,,208,4.3,https://www.amazon.com/Sony-OLED-inch-BRAVIA-Ultra/dp/B0BYPQ8RH8/,https://m.media-amazon.com/images/I/81aMS6p4xlL.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A13ACIRM091OJE&asin=B0BYPQ8RH8&ref_=dp_merchant_link
B0BYPT328K,AMAZON-US,Sony QD-OLED 55 inch BRAVIA XR A95L Series 4K Ultra HD TV: Smart Google TV with Dolby Vision HDR and Exclusive Gaming Features for The Playstation® 5 XR55A95L- 2023 Model,USD,"2,798.00",Amazon.com,No,Sony,XR55A95L,,,71,4.6,https://www.amazon.com/Sony-QD-OLED-inch-BRAVIA-Ultra/dp/B0BYPT328K/,https://m.media-amazon.com/images/I/91FLVbv6qhL.jpg,https://www.amazon.com
B0BYPYRH4F,AMAZON-US,"Sony QD-OLED 65 inch BRAVIA XR A95L Series 4K Ultra HD TV: Smart Google TV with Dolby Vision HDR and Exclusive Gaming Features for The Playstation® 5 XR65A95L- 2023 Model,Black",USD,"3,298.00",Amazon.com,No,Sony,XR65A95L,,,71,4.6,https://www.amazon.com/Sony-QD-OLED-inch-BRAVIA-Ultra/dp/B0BYPYRH4F/,https://m.media-amazon.com/images/I/91FLVbv6qhL.jpg,https://www.amazon.com
B09QGK2LW3,AMAZON-US,"PS5 Stand and Cooling Station with Dual Controller Charging Station for Playstation 5 Console, PS5 Accessories Incl. Controller Charger, Cooling fan,Headset holder (Not Fit 2023 PS5 Slim Disc&Digital)",USD,30.99,CYKOARMOR,CYKOARMOR,,Stand-White,,,"5,052",4.4,https://www.amazon.com/Cooling-Controller-Charging-Playstation-Accessories/dp/B09QGK2LW3/,https://m.media-amazon.com/images/I/71NJBAZCUCL.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A36SE059ERN4S&asin=B09QGK2LW3&ref_=dp_merchant_link&isAmazonFulfilled=1
B09QGK2LW3,AMAZON-US,"PS5 Stand and Cooling Station with Dual Controller Charging Station for Playstation 5 Console, PS5 Accessories Incl. Controller Charger, Cooling fan,Headset holder (Not Fit 2023 PS5 Slim Disc&Digital)",USD,30.99,CYKOARMOR,CYKOARMOR,,Stand-White,,,"5,052",4.4,https://www.amazon.com/Cooling-Controller-Charging-Playstation-Accessories/dp/B09QGK2LW3/,https://m.media-amazon.com/images/I/71NJBAZCUCL.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A36SE059ERN4S&asin=B09QGK2LW3&ref_=dp_merchant_link&isAmazonFulfilled=1
