platform_product_id,platform_marketplace_id,product_title,currency,buy_box_price,buy_box_seller,manufacturer_name,brand,model_number,upc,part_number,ratings_count,average_rating,listing_url,image_url,seller_url
B088QX3KWM,AMAZON-US,"Replacement 24oz Nutri Ninja Blender Cup with Sip & Seal Lid For BL450 BL456 BL480 BL482 BL640 BL642 BL682 BN401 BN751 BN801 Foodi SS101 SS151 SS351 SS401 Ninja Blender Auto IQ Blade, 2-Pack …",USD,23.96,ABTER,ABTER,,,,,"2,439",4.8,https://www.amazon.com/Replacement-Nutri-Blender-Blenders-2-Pack/dp/B088QX3KWM/,https://m.media-amazon.com/images/I/51qNlfoVx9L.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AJRGMK8ZXN7YV&asin=B088QX3KWM&ref_=dp_merchant_link&isAmazonFulfilled=1
B0BZHBKN1Q,AMAZON-US,"Shaker Bottle 28oz for Gym, Protein Shaker Bottle with Blender Bottle Whisking Ball",USD,6.99,SuppCup,SuppCup,Generic,SC134-7987,,SC134-7987,10,4.2,https://www.amazon.com/Shaker-Bottle-Protein-Blender-Whisking/dp/B0BZHBKN1Q/,https://m.media-amazon.com/images/I/51Lto9iWnQL.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AOB3E2H4LHE9O&asin=B0BZHBKN1Q&ref_=dp_merchant_link&isAmazonFulfilled=1
B0CGVJVW69,AMAZON-US,"VELOMIX -6 PACK- Protein Shaker Bottles for Protein Mixes, 28 OZ Shaker Cups for Protein Shakes, Shaker Bottle Pack, Shaker Cup, blender bottles, Shakers for protein Shakes, protein shake bottles",USD,24.95,VELOMIX,VELOMIX,VELOMIX,004,,004,90,4.6,https://www.amazon.com/VELOMIX-Protein-Bottles-blender-bottles/dp/B0CGVJVW69/,https://m.media-amazon.com/images/I/71JJCMimMCL.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3E9O8X0XUH715&asin=B0CGVJVW69&ref_=dp_merchant_link&isAmazonFulfilled=1
B0BZ8GJN84,AMAZON-US,Electric Protein Shaker Bottle - USB Rechargeable Blender Bottles - 24oz Shaker Bottles for Protein Mixes - Blender Bottle - Protein Mixer - Protein Shaker - Shaker - Gadgets for Men - Pink,USD,12.99,Kitchen Revolution,AQUAFIT,AQUAFIT,,,,380,4.1,https://www.amazon.com/Electric-Protein-Shaker-Bottle-Rechargeable/dp/B0BZ8GJN84/,https://m.media-amazon.com/images/I/81zy+m3Y19L.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1LAE6J7SQU50M&asin=B0BZ8GJN84&ref_=dp_merchant_link&isAmazonFulfilled=1
B0CGVJSP54,AMAZON-US,"VELOMIX -6 PACK- 28 OZ Protein Shaker Bottles for Protein Mixes, Shaker Cups for Protein Shakes, Shaker Bottle Pack, Blender Bottles, Shakers for Protein Shakes, Shaker Cup, Protein Shake Bottles",USD,29.99,VELOMIX,VELOMIX,VELOMIX,006,,,58,4.4,https://www.amazon.com/VELOMIX-Protein-Bottles-Blender-Shakers/dp/B0CGVJSP54/,https://m.media-amazon.com/images/I/713p6k0dNEL.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3E9O8X0XUH715&asin=B0CGVJSP54&ref_=dp_merchant_link&isAmazonFulfilled=1
B098SGVZF6,AMAZON-US,"Blender Shaker Bottle with Classic Loop Top& Stainless Whisk Ball16oz (Clear Body16 Oz, White), BTLWHITECLEARUS, WhiteClear",USD,7.99,zKouty,Shaker Bottle,Shaker Bottle,BTL-WHITE-CLEAR-US,,BTL-WHITE-CLEAR-US,602,4.4,https://www.amazon.com/Shaker-Bottle-Stainless-BTLWHITECLEARUS-WhiteClear/dp/B098SGVZF6/,https://m.media-amazon.com/images/I/71x4UhEIXkL.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2GB5Q78UVW00A&asin=B098SGVZF6&ref_=dp_merchant_link&isAmazonFulfilled=1
B0CKLBQV62,AMAZON-US,30 Oz Shaker Bottles for Protein Mixes - Leak Proof Shaker Cups for Protein Shakes | Protein Shaker Bottle | Shaker Cup | Protein Shake Bottle,USD,6.99,VELOMIX,VELOMIX,VELOMIX,999,,,10,4.9,https://www.amazon.com/VELOMIX-Shaker-Bottles-Protein-Mixes/dp/B0CKLBQV62/,https://m.media-amazon.com/images/I/61ed+5NuOOL.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3E9O8X0XUH715&asin=B0CKLBQV62&ref_=dp_merchant_link&isAmazonFulfilled=1
B07TK5Y3LW,AMAZON-US,"BlenderBottle Classic V2 Shaker Bottle Perfect for Protein Shakes and Pre Workout, 28-Ounce, Ocean Blue",USD,10.99,Amazon.com,BlenderBottle,BlenderBottle,C03600,,,"2,942",4.7,https://www.amazon.com/BlenderBottle-C03600-Classic-Bottle-28-Ounce/dp/B07TK5Y3LW/,https://m.media-amazon.com/images/I/71S7f5+CPTL.jpg,https://www.amazon.com
B09VGJLQZK,AMAZON-US,diliqua -10 PACK- small Shaker Bottles for Protein Mixes | BPA-Free & Dishwasher Safe | 5 Large 28 oz & 5 20 oz | Blender Shaker Cups for protein shakes,USD,29.99,diliqua,diliqua,diliqua,Diliqua,,,"1,607",4.5,https://www.amazon.com/diliqua-Bottles-BPA-Free-Dishwasher-Assorted/dp/B09VGJLQZK/,https://m.media-amazon.com/images/I/81SbiwNgU5L.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A4YRPLLGH9Q4Y&asin=B09VGJLQZK&ref_=dp_merchant_link&isAmazonFulfilled=1
B0CN14ZBX6,AMAZON-US,"BlenderBottle Classic V2 Shaker Bottle Perfect for Protein Shakes and Pre Workout, 28-Ounce, Colors May Vary, 2 Pack",USD,19.98,Amazon.com,BlenderBottle,BlenderBottle,SC02162,,,8,3.9,https://www.amazon.com/BlenderBottle-Classic-Perfect-Protein-28-Ounce/dp/B0CN14ZBX6/,https://m.media-amazon.com/images/I/71dYyjeCf4L.jpg,https://www.amazon.com
B0B13679BH,AMAZON-US,"BlenderBottle Classic V2 Shaker Bottle Perfect for Protein Shakes and Pre Workout, 28-Ounce, Mango",USD,10.99,Amazon.com,BlenderBottle,BlenderBottle,C05394,,,180,4.8,https://www.amazon.com/BlenderBottle-Classic-Perfect-Protein-28-Ounce/dp/B0B13679BH/,https://m.media-amazon.com/images/I/61chP2z17RL.jpg,https://www.amazon.com
B0C7GWGLWV,AMAZON-US,"VOLTRX Protein Shaker Bottle, Merger USB C Rechargeable Electric Protein Shake Mixer, Shaker Cups for Protein Shakes and Meal Replacement Shakes, BPA Free, 24oz",USD,17.99,EliteAthleticsClub,VOLTRX Technology,VOLTRX,vt005,,,642,4.3,https://www.amazon.com/VOLTRX-Protein-Rechargeable-Electric-Replacement/dp/B0C7GWGLWV/,https://m.media-amazon.com/images/I/51sssewfBgL.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A28NHLDR17DIV1&asin=B0C7GWGLWV&ref_=dp_merchant_link&isAmazonFulfilled=1
B09L7WT2TD,AMAZON-US,"Premium Electric Protein Shaker Bottle, 24 oz Lockable Blender Shaker Bottles, Made with Tritan, BPA Free, USB Rechargeable Mixer Blender Cup for Protein Shakes, Black",USD,25.99,FANS-ONE Direct,FANS-ONE,FANS-ONE,electric shaker bottle,,,"1,039",4.4,https://www.amazon.com/FANS-ONE-Electric-Premium-Protein-Blender/dp/B09L7WT2TD/,https://m.media-amazon.com/images/I/51-iMAjbe-L.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2KWDML4K7YS5I&asin=B09L7WT2TD&ref_=dp_merchant_link&isAmazonFulfilled=1
B0CGVL9C8S,AMAZON-US,"-4 PACK- 20 OZ Protein Shaker Bottles for Protein Mixes, Shaker Cups for Protein Shakes, Small Shaker Bottle Pack, Shaker Cup, Blender Bottles, Shakers for Protein Shakes",USD,14.99,VELOMIX,VELOMIX,VELOMIX,009,,,72,4.5,https://www.amazon.com/VELOMIX-Protein-Bottles-Blender-Shakers/dp/B0CGVL9C8S/,https://m.media-amazon.com/images/I/81uEMfLZ61L.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3E9O8X0XUH715&asin=B0CGVL9C8S&ref_=dp_merchant_link&isAmazonFulfilled=1
